=== Shared String - Reader-Writer Problem ===
Mode: fair
Readers: 5, Writers: 8, Duration: 8 seconds

[22:43:25.951] [R2] started
[22:43:29.390] [R5] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:29.396] [W7] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:29.405] [W4] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:29.408] [R1] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:29.422] [W1] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:29.423] [R4] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:29.424] [R3] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:29.427] [R2] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:29.434] [W5] wrote: "Context switching between threads has performance overhead costs."
[22:43:29.435] [R5] read: "Context switching between threads has performance overhead costs."
[22:43:29.439] [W3] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:29.444] [W4] wrote: "!"
[22:43:29.445] [R1] read: "!"
[22:43:29.453] [R2] read: "!"
[22:43:29.457] [R5] read: "!"
[22:43:29.460] [W8] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:29.462] [R4] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:29.468] [R3] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:29.473] [W6] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:29.478] [W1] wrote: "!"
[22:43:29.478] [W2] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:29.482] [W5] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:29.485] [W7] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:29.488] [R1] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:29.490] [R5] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:29.493] [W4] wrote: "Context switching between threads has performance overhead costs."
[22:43:29.496] [R2] read: "Context switching between threads has performance overhead costs."
[22:43:29.500] [R4] read: "Context switching between threads has performance overhead costs."
[22:43:29.501] [R3] read: "Context switching between threads has performance overhead costs."
[22:43:29.518] [W2] wrote: "Test"
[22:43:29.522] [W7] wrote: "Test"
[22:43:29.527] [R1] read: "Test"
[22:43:29.530] [W6] wrote: "!"
[22:43:29.535] [W8] wrote: "!"
[22:43:29.536] [W1] wrote: "Context switching between threads has performance overhead costs."
[22:43:29.538] [R4] read: "Context switching between threads has performance overhead costs."
[22:43:29.540] [W3] wrote: "Test"
[22:43:29.545] [R5] read: "Test"
[22:43:29.554] [R2] read: "Test"
[22:43:29.554] [R3] read: "Test"
[22:43:29.555] [W4] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:29.555] [W7] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:29.558] [W5] wrote: "A"
[22:43:29.565] [R4] read: "A"
[22:43:29.566] [R1] read: "A"
[22:43:29.571] [W6] wrote: "Context switching between threads has performance overhead costs."
[22:43:29.571] [W2] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:29.577] [W8] wrote: "Context switching between threads has performance overhead costs."
[22:43:29.586] [R5] read: "Context switching between threads has performance overhead costs."
[22:43:29.587] [R2] read: "Context switching between threads has performance overhead costs."
[22:43:29.591] [R4] read: "Context switching between threads has performance overhead costs."
[22:43:29.593] [W3] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:29.598] [R3] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:29.607] [W5] wrote: "Hello World!"
[22:43:29.618] [R4] read: "Hello World!"
[22:43:29.623] [R3] read: "Hello World!"
[22:43:29.623] [R1] read: "Hello World!"
[22:43:29.624] [R2] read: "Hello World!"
[22:43:29.627] [W6] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:29.633] [W1] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:29.638] [R5] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:29.639] [R4] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:29.645] [W3] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:29.645] [R3] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:29.647] [W7] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:29.648] [W2] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:29.653] [W4] wrote: "A"
[22:43:29.658] [W8] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:29.665] [W6] wrote: "A"
[22:43:29.666] [R3] read: "A"
[22:43:29.669] [R1] read: "A"
[22:43:29.682] [R2] read: "A"
[22:43:29.683] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:29.684] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:43:29.693] [W4] wrote: "Hello World!"
[22:43:29.694] [R5] read: "Hello World!"
[22:43:29.707] [R3] read: "Hello World!"
[22:43:29.711] [W3] wrote: "!"
[22:43:29.711] [W2] wrote: "!"
[22:43:29.714] [R1] read: "!"
[22:43:29.720] [W1] wrote: "A"
[22:43:29.726] [W8] wrote: "A"
[22:43:29.732] [W7] wrote: "!"
[22:43:29.734] [R4] read: "!"
[22:43:29.735] [R3] read: "!"
[22:43:29.736] [R1] read: "!"
[22:43:29.741] [R2] read: "!"
[22:43:29.743] [W6] wrote: "Hello World!"
[22:43:29.749] [R5] read: "Hello World!"
[22:43:29.770] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:29.777] [W5] wrote: "Operating systems manage hardware and software resources."
[22:43:29.783] [R1] read: "Operating systems manage hardware and software resources."
[22:43:29.786] [R3] read: "Operating systems manage hardware and software resources."
[22:43:29.790] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:29.790] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:43:29.790] [W8] wrote: "Hello World!"
[22:43:29.795] [R5] read: "Hello World!"
[22:43:29.795] [W3] wrote: "Context switching between threads has performance overhead costs."
[22:43:29.799] [R2] read: "Context switching between threads has performance overhead costs."
[22:43:29.802] [W7] wrote: "Context switching between threads has performance overhead costs."
[22:43:29.808] [W2] wrote: "Context switching between threads has performance overhead costs."
[22:43:29.808] [W1] wrote: "Hello World!"
[22:43:29.812] [R3] read: "Hello World!"
[22:43:29.820] [W6] wrote: "Operating systems manage hardware and software resources."
[22:43:29.825] [R1] read: "Operating systems manage hardware and software resources."
[22:43:29.829] [R2] read: "Operating systems manage hardware and software resources."
[22:43:29.832] [R4] read: "Operating systems manage hardware and software resources."
[22:43:29.833] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:29.837] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:43:29.842] [W5] wrote: "X"
[22:43:29.847] [R5] read: "X"
[22:43:29.849] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:29.856] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:43:29.858] [W4] wrote: "Operating systems manage hardware and software resources."
[22:43:29.861] [R2] read: "Operating systems manage hardware and software resources."
[22:43:29.872] [R1] read: "Operating systems manage hardware and software resources."
[22:43:29.872] [W7] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:29.875] [W3] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:29.880] [R3] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:29.890] [W2] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:29.892] [R2] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:29.895] [W6] wrote: "X"
[22:43:29.901] [R3] read: "X"
[22:43:29.901] [W1] wrote: "Operating systems manage hardware and software resources."
[22:43:29.904] [R5] read: "Operating systems manage hardware and software resources."
[22:43:29.908] [R4] read: "Operating systems manage hardware and software resources."
[22:43:29.914] [R1] read: "Operating systems manage hardware and software resources."
[22:43:29.927] [W7] wrote: "A"
[22:43:29.927] [W5] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:29.929] [W8] wrote: "Operating systems manage hardware and software resources."
[22:43:29.933] [W3] wrote: "A"
[22:43:29.936] [W1] wrote: "X"
[22:43:29.937] [R3] read: "X"
[22:43:29.942] [R1] read: "X"
[22:43:29.942] [W4] wrote: "X"
[22:43:29.944] [R2] read: "X"
[22:43:29.958] [R5] read: "X"
[22:43:29.963] [R1] read: "X"
[22:43:29.967] [R2] read: "X"
[22:43:29.968] [R4] read: "X"
[22:43:29.971] [W2] wrote: "A"
[22:43:29.973] [R3] read: "A"
[22:43:29.980] [W7] wrote: "Hello World!"
[22:43:29.993] [R5] read: "Hello World!"
[22:43:29.995] [W6] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:30.003] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:30.015] [W1] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:30.020] [W8] wrote: "X"
[22:43:30.024] [W5] wrote: "Readers and writers must coordinate access to shared data."
[22:43:30.025] [W4] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:30.026] [R2] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:30.026] [W3] wrote: "Hello World!"
[22:43:30.028] [R4] read: "Hello World!"
[22:43:30.029] [R3] read: "Hello World!"
[22:43:30.030] [W6] wrote: "Readers and writers must coordinate access to shared data."
[22:43:30.041] [R5] read: "Readers and writers must coordinate access to shared data."
[22:43:30.046] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:30.051] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:43:30.051] [R1] read: "The quick brown fox jumps over the lazy dog."
[22:43:30.057] [W5] wrote: "Race!"
[22:43:30.058] [W2] wrote: "Hello World!"
[22:43:30.059] [R4] read: "Hello World!"
[22:43:30.067] [R5] read: "Hello World!"
[22:43:30.070] [R2] read: "Hello World!"
[22:43:30.074] [W4] wrote: "Readers and writers must coordinate access to shared data."
[22:43:30.079] [W8] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:30.099] [W1] wrote: "Readers and writers must coordinate access to shared data."
[22:43:30.105] [R1] read: "Readers and writers must coordinate access to shared data."
[22:43:30.106] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:30.108] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:43:30.109] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:43:30.111] [W7] wrote: "Operating systems manage hardware and software resources."
[22:43:30.115] [W6] wrote: "Race!"
[22:43:30.122] [R2] read: "Race!"
[22:43:30.126] [R5] read: "Race!"
[22:43:30.126] [W4] wrote: "Race!"
[22:43:30.131] [R1] read: "Race!"
[22:43:30.132] [W8] wrote: "Readers and writers must coordinate access to shared data."
[22:43:30.134] [R3] read: "Readers and writers must coordinate access to shared data."
[22:43:30.142] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:30.150] [W5] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:30.156] [R3] read: "Mutual exclusion ensures only one writer at a time."
[22:43:30.160] [R1] read: "Mutual exclusion ensures only one writer at a time."
[22:43:30.161] [W3] wrote: "Operating systems manage hardware and software resources."
[22:43:30.163] [R4] read: "Operating systems manage hardware and software resources."
[22:43:30.164] [R2] read: "Operating systems manage hardware and software resources."
[22:43:30.167] [R5] read: "Operating systems manage hardware and software resources."
[22:43:30.183] [W8] wrote: "Race!"
[22:43:30.184] [W7] wrote: "X"
[22:43:30.189] [W4] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:30.197] [W1] wrote: "Race!"
[22:43:30.200] [W2] wrote: "Operating systems manage hardware and software resources."
[22:43:30.204] [R3] read: "Operating systems manage hardware and software resources."
[22:43:30.210] [R5] read: "Operating systems manage hardware and software resources."
[22:43:30.210] [W3] wrote: "X"
[22:43:30.212] [R2] read: "X"
[22:43:30.213] [R4] read: "X"
[22:43:30.214] [W6] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:30.219] [W8] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:30.219] [R1] read: "Mutual exclusion ensures only one writer at a time."
[22:43:30.220] [W5] wrote: "Pthread library provides powerful threading primitives."
[22:43:30.228] [R3] read: "Pthread library provides powerful threading primitives."
[22:43:30.235] [R4] read: "Pthread library provides powerful threading primitives."
[22:43:30.240] [W4] wrote: "Pthread library provides powerful threading primitives."
[22:43:30.240] [R1] read: "Pthread library provides powerful threading primitives."
[22:43:30.256] [R3] read: "Pthread library provides powerful threading primitives."
[22:43:30.256] [R5] read: "Pthread library provides powerful threading primitives."
[22:43:30.260] [W7] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:30.267] [R2] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:30.277] [W3] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:30.278] [W6] wrote: "Pthread library provides powerful threading primitives."
[22:43:30.290] [W5] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:30.291] [R4] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:30.291] [W2] wrote: "X"
[22:43:30.292] [R1] read: "X"
[22:43:30.294] [R3] read: "X"
[22:43:30.295] [W1] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:30.299] [R2] read: "Mutual exclusion ensures only one writer at a time."
[22:43:30.307] [W4] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:30.307] [W8] wrote: "Pthread library provides powerful threading primitives."
[22:43:30.310] [R5] read: "Pthread library provides powerful threading primitives."
[22:43:30.325] [W7] wrote: "Readers and writers must coordinate access to shared data."
[22:43:30.328] [W1] wrote: "Pthread library provides powerful threading primitives."
[22:43:30.329] [R3] read: "Pthread library provides powerful threading primitives."
[22:43:30.331] [W6] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:30.334] [R4] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:30.337] [R2] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:30.348] [R1] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:30.355] [W4] wrote: "AB"
[22:43:30.358] [W5] wrote: "AB"
[22:43:30.359] [W3] wrote: "Readers and writers must coordinate access to shared data."
[22:43:30.365] [R5] read: "Readers and writers must coordinate access to shared data."
[22:43:30.371] [W7] wrote: "Race!"
[22:43:30.373] [W6] wrote: "AB"
[22:43:30.378] [R4] read: "AB"
[22:43:30.383] [W2] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:30.386] [W8] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:30.387] [R3] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:30.391] [R5] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:30.392] [R2] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:30.396] [R1] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:30.411] [W6] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:30.413] [W2] wrote: "Readers and writers must coordinate access to shared data."
[22:43:30.415] [W4] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:30.417] [W5] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:30.419] [W3] wrote: "Race!"
[22:43:30.427] [R4] read: "Race!"
[22:43:30.428] [W1] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:30.430] [R3] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:30.431] [R2] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:30.434] [R1] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:30.452] [R5] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:30.455] [W5] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:30.461] [W7] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:30.463] [R3] read: "Mutual exclusion ensures only one writer at a time."
[22:43:30.464] [R4] read: "Mutual exclusion ensures only one writer at a time."
[22:43:30.469] [W1] wrote: "AB"
[22:43:30.471] [W8] wrote: "AB"
[22:43:30.478] [W3] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:30.478] [R2] read: "Mutual exclusion ensures only one writer at a time."
[22:43:30.481] [R5] read: "Mutual exclusion ensures only one writer at a time."
[22:43:30.486] [W4] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:30.489] [R3] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:30.492] [W5] wrote: "Test"
[22:43:30.493] [R4] read: "Test"
[22:43:30.494] [R1] read: "Test"
[22:43:30.495] [W2] wrote: "Race!"
[22:43:30.499] [W6] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:30.511] [W7] wrote: "Pthread library provides powerful threading primitives."
[22:43:30.514] [W8] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:30.515] [W1] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:30.519] [W4] wrote: "Test"
[22:43:30.527] [R4] read: "Test"
[22:43:30.528] [R2] read: "Test"
[22:43:30.541] [R5] read: "Test"
[22:43:30.541] [R1] read: "Test"
[22:43:30.546] [W1] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:30.548] [R3] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:30.549] [R2] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:30.552] [W3] wrote: "Pthread library provides powerful threading primitives."
[22:43:30.553] [W5] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:30.559] [W7] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:30.563] [R4] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:30.565] [W4] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:30.570] [W8] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:30.578] [R3] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:30.582] [R2] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:30.586] [W1] wrote: "Test"
[22:43:30.587] [W6] wrote: "Test"
[22:43:30.587] [W2] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:30.587] [W3] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:30.592] [R5] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:30.597] [R1] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:30.606] [R4] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:30.616] [W5] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:30.623] [W3] wrote: "AB"
[22:43:30.624] [W7] wrote: "AB"
[22:43:30.627] [R3] read: "AB"
[22:43:30.629] [R4] read: "AB"
[22:43:30.632] [R2] read: "AB"
[22:43:30.633] [R1] read: "AB"
[22:43:30.636] [W4] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:30.642] [W2] wrote: "Pthread library provides powerful threading primitives."
[22:43:30.644] [R5] read: "Pthread library provides powerful threading primitives."
[22:43:30.647] [W1] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:30.651] [W6] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:30.653] [R2] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:30.653] [R3] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:30.655] [W8] wrote: "Test"
[22:43:30.657] [W7] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:30.663] [R4] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:30.667] [R1] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:30.674] [W4] wrote: "!"
[22:43:30.691] [R3] read: "!"
[22:43:30.694] [R5] read: "!"
[22:43:30.696] [W1] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:30.699] [R2] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:30.701] [W8] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:30.705] [W4] wrote: "Context switching between threads has performance overhead costs."
[22:43:30.714] [R4] read: "Context switching between threads has performance overhead costs."
[22:43:30.714] [W3] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:30.714] [W5] wrote: "!"
[22:43:30.715] [R1] read: "!"
[22:43:30.722] [R2] read: "!"
[22:43:30.724] [R3] read: "!"
[22:43:30.724] [R5] read: "!"
[22:43:30.724] [W7] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:30.735] [W6] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:30.740] [W2] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:30.745] [R3] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:30.748] [R2] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:30.758] [W5] wrote: "Context switching between threads has performance overhead costs."
[22:43:30.761] [W3] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:30.762] [W8] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:30.765] [R1] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:30.770] [R4] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:30.775] [R5] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:30.778] [R3] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:30.780] [W7] wrote: "Test"
[22:43:30.782] [W4] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:30.782] [W1] wrote: "!"
[22:43:30.783] [W6] wrote: "!"
[22:43:30.800] [R5] read: "!"
[22:43:30.800] [R4] read: "!"
[22:43:30.801] [R2] read: "!"
[22:43:30.811] [W2] wrote: "AB"
[22:43:30.819] [W7] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:30.819] [W8] wrote: "!"
[22:43:30.819] [W1] wrote: "Context switching between threads has performance overhead costs."
[22:43:30.823] [R4] read: "Context switching between threads has performance overhead costs."
[22:43:30.825] [R1] read: "Context switching between threads has performance overhead costs."
[22:43:30.825] [R3] read: "Context switching between threads has performance overhead costs."
[22:43:30.831] [W3] wrote: "Test"
[22:43:30.835] [W5] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:30.844] [R5] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:30.846] [W2] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:30.849] [W6] wrote: "Context switching between threads has performance overhead costs."
[22:43:30.855] [R2] read: "Context switching between threads has performance overhead costs."
[22:43:30.856] [R4] read: "Context switching between threads has performance overhead costs."
[22:43:30.869] [W4] wrote: "A"
[22:43:30.874] [W7] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:30.874] [R3] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:30.876] [W3] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:30.877] [R1] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:30.881] [W5] wrote: "A"
[22:43:30.883] [R4] read: "A"
[22:43:30.883] [W8] wrote: "Context switching between threads has performance overhead costs."
[22:43:30.885] [W1] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:30.897] [R3] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:30.897] [R1] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:30.901] [R5] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:30.908] [W2] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:30.908] [W4] wrote: "Hello World!"
[22:43:30.911] [R2] read: "Hello World!"
[22:43:30.917] [W6] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:30.917] [R1] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:30.922] [W3] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:30.923] [R3] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:30.923] [R4] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:30.926] [W8] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:30.938] [W7] wrote: "!"
[22:43:30.942] [R2] read: "!"
[22:43:30.947] [R5] read: "!"
[22:43:30.951] [R1] read: "!"
[22:43:30.953] [R4] read: "!"
[22:43:30.953] [W1] wrote: "A"
[22:43:30.957] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:30.960] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:43:30.966] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:43:30.973] [R1] read: "The quick brown fox jumps over the lazy dog."
[22:43:30.978] [W5] wrote: "Hello World!"
[22:43:30.978] [W8] wrote: "A"
[22:43:30.981] [R3] read: "A"
[22:43:30.990] [W2] wrote: "Test"
[22:43:31.000] [R4] read: "Test"
[22:43:31.002] [R5] read: "Test"
[22:43:31.008] [W6] wrote: "A"
[22:43:31.009] [W3] wrote: "!"
[22:43:31.013] [R2] read: "!"
[22:43:31.016] [W7] wrote: "Context switching between threads has performance overhead costs."
[22:43:31.018] [R1] read: "Context switching between threads has performance overhead costs."
[22:43:31.025] [W1] wrote: "Hello World!"
[22:43:31.030] [R3] read: "Hello World!"
[22:43:31.034] [W2] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:31.038] [R5] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:31.039] [R2] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:31.042] [W4] wrote: "Operating systems manage hardware and software resources."
[22:43:31.046] [W8] wrote: "Hello World!"
[22:43:31.051] [R1] read: "Hello World!"
[22:43:31.060] [R4] read: "Hello World!"
[22:43:31.063] [R5] read: "Hello World!"
[22:43:31.066] [R3] read: "Hello World!"
[22:43:31.068] [W7] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:31.071] [W2] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:31.072] [R2] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:31.076] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:31.077] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:31.084] [W3] wrote: "Context switching between threads has performance overhead costs."
[22:43:31.086] [W6] wrote: "Hello World!"
[22:43:31.100] [R5] read: "Hello World!"
[22:43:31.101] [R1] read: "Hello World!"
[22:43:31.101] [R4] read: "Hello World!"
[22:43:31.106] [R3] read: "Hello World!"
[22:43:31.115] [R2] read: "Hello World!"
[22:43:31.130] [W3] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:31.136] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:31.138] [W2] wrote: "!"
[22:43:31.138] [W4] wrote: "X"
[22:43:31.148] [W1] wrote: "Operating systems manage hardware and software resources."
[22:43:31.148] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:31.148] [R1] read: "The quick brown fox jumps over the lazy dog."
[22:43:31.149] [W5] wrote: "Operating systems manage hardware and software resources."
[22:43:31.149] [R4] read: "Operating systems manage hardware and software resources."
[22:43:31.151] [W7] wrote: "A"
[22:43:31.151] [R5] read: "A"
[22:43:31.153] [R2] read: "A"
[22:43:31.156] [R3] read: "A"
[22:43:31.170] [W2] wrote: "Context switching between threads has performance overhead costs."
[22:43:31.177] [R2] read: "Context switching between threads has performance overhead costs."
[22:43:31.180] [W4] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:31.184] [R5] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:31.185] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:31.186] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:31.194] [W3] wrote: "A"
[22:43:31.201] [W2] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:31.208] [R4] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:31.208] [R5] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:31.209] [W7] wrote: "Hello World!"
